header,location,locationCrumbs,price,description,type,listNumber,specificId,urlStub,cashFlow,listingTypeId,ebitda,financingTypeId,leaseRateDuration,leaseRatePerSquareFoot,searchOffset,adLevelId,siteSpecificId,isDiamondReinforcement,brokerCompany,brokerIntroduction,brokerContactPhoto,brokerContactFullName,isInlineAd,listingPriceReduced,contactInfo,detailRequests,diamondMetaData,region,hotProperty,recentlyUpdated,recentlyAdded,isInlineBroker,brokerCompanyPhoto,brokerCertifications,realEstateIncludedInAskingPrice,initialFee,initialCapital,externalUrl,auctionStartDate,auctionEndDate,auctionDateDisplay,auctionPlacardHighlights,account,activeListingsCount,soldListingsCount,isFdResale,userTypeId,relatedSearchUrlStub,expirationTypeId,advertiserId,placementTypeId,sponsorLevelId,categoryDetails
FREE Turnkey Ice Cream Shop in Prime Pearl District Location,"Portland, OR",,,"This beautifully designed scoop shop is located in the heart of Portland’s vibrant Pearl District—a high-foot-traffic neighborhood known for its boutiques, cafes, and creative energy. Outfitted with...",5,2386104,2386104,https://www.bizbuysell.com/business-opportunity/free-turnkey-ice-cream-shop-in-prime-pearl-district-location/2386104/,10000,40,10000,0,40,5000,8,5,2386104,,,,,,,FALSE,"{'contactInfoPersonId': 1673463, 'contactFullName': 'moshe shalchon', 'contactPhoneNumber': {'telephone': '(860) 481-0277', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386104, 'headline': 'FREE Turnkey Ice Cream Shop in Prime Pearl District Location', 'askingPrice': 0.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 171, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 224, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Food & Beverage', 'bbsPrimaryBizTypeName': None, 'location': 'Portland, OR', 'locationSt': 'Oregon', 'regionId': 51}",OR,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Heroes Lawn Care,Available in Multiple Locations,,60000,"As a HorsePower Brands company, be a hero in your community with essential eco-friendly lawn care, multiple service lines, and recurring revenue.",-1,2502,2502,/franchise-for-sale/heroes-lawn-care/,,-1,,,,,-1,-1,4428,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,/franchise-for-sale/home-services-franchise/,,,,,
Office Supply/Printing/Education Products,"Ogemaw County, MI",,595000,"Established Office Supply and Printing Business - Turn-Key Operation This well-established retail business has been serving the Ogemaw County and surrounding communities since 1990, offering...",5,2384085,2384085,https://www.bizbuysell.com/business-opportunity/office-supply-printing-education-products/2384085/,,40,,0,40,,9,5,2384085,,,,,,,FALSE,"{'contactInfoPersonId': 1669050, 'contactFullName': 'Sandy Rabidue', 'contactPhoneNumber': {'telephone': '(989) 701-8885', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2384085, 'headline': 'Office Supply/Printing/Education Products', 'askingPrice': 595000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 13, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 304, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Retail Stores', 'bbsPrimaryBizTypeName': None, 'location': 'Ogemaw County, MI', 'locationSt': 'Michigan', 'regionId': 36}",MI,FALSE,TRUE,FALSE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Unique Detail LLC - Turnkey Mobile Detailing Business,"Eugene, OR",,55000,"Unique Detail LLC is a turnkey mobile detailing business ready for immediate operation. This opportunity includes a fully equipped 2016 Mercedes Metris van and state-of-the-art detailing equipment,...",5,2386444,2386444,https://www.bizbuysell.com/business-asset/unique-detail-llc-turnkey-mobile-detailing-business/2386444/,,30,,0,,,10,5,2386444,,,,,,,FALSE,"{'contactInfoPersonId': 1674549, 'contactFullName': 'Elman Babayev', 'contactPhoneNumber': {'telephone': '(541) 954-5662', 'tpnPhone': None, 'tpnPhoneExt': None}, 'contactPhoto': None, 'brokerCompany': None, 'brokerProfileUrl': None}","{'requestContactAvailableFunds': False, 'requestContactZip': False, 'requestContactTimeFrame': False}","{'bbsListNumber': 2386444, 'headline': 'Unique Detail LLC - Turnkey Mobile Detailing Business', 'askingPrice': 55000.0, 'adLevel': 5, 'bbsPrimaryBizTypeId': 108, 'checkboxAdTagline': None, 'bqPrimaryBizTypeId': 163, 'bqListNumber': None, 'bqPrimaryBizTypeName': 'Auto & Automotive', 'bbsPrimaryBizTypeName': None, 'location': 'Eugene, OR', 'locationSt': 'Oregon', 'regionId': 51}",OR,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Established HVAC Company,New York,,,**ACCEPTING OFFERS** This is a well-established HVAC and refrigeration company serving the Metro New York region for over 35 years. The business has developed a strong reputation for dependable...,4,2386854,2386854,https://www.bizbuysell.com/business-opportunity/established-hvac-company/2386854/,,40,1740737,0,0,,11,4,2386854,,,,,,,FALSE,,,,NY,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,2881,0,0,0,40,,0,,,,
Profitable Food distribution business with no Debt ,"Miami-Dade County, FL",,699000,"Great opportunity for someone looking to start or expand business. In business for 7 yrs with almost 100 active accounts . High profit, low cost maintenance. Amazing lease terms....",1,2386844,2386844,https://www.bizbuysell.com/business-opportunity/profitable-food-distribution-business-with-no-debt/2386844/,185000,40,0,0,40,2000,12,1,2386844,,,,,,,FALSE,,,,FL,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
"Profitable, Turnkey Veterinary Practice in Iowa",Iowa,,1098200,"Looking to Own Your Own Veterinary Practice? If you're a licensed veterinary professional with an entrepreneurial spirit, this is your chance to step into ownership with a strong foundation already in...",4,2386828,2386828,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-veterinary-practice-in-iowa/2386828/,327229,40,192547,1,,,13,4,2386828,,,,,,,FALSE,,,,IA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,27404,0,0,0,40,,0,,,,
,"Eastland County, TX",,,Capstone Real Estate leads with integrity respect and vast knowledge of the real estate world.,-2,,48936,https://www.bizbuysell.com/business-broker/clay-wheat/capstone-real-estate/40617/,,,,,,,,-2,48936,,Capstone Real Estate,"Clay Wheat has been in business for the last 30+ years marketing oil and gas & commercial businesses, farm and ranch real estate as well as hunting properties.  With a love for agriculture and industry",https://images.bizbuysell.com/shared/brokerdirectory/images/48936/lg_prs_Z62_6768.jpg,Clay Wheat,,,,,,,,,,TRUE,https://images.bizbuysell.com/shared/brokerdirectory/images/48936/lg_cmp_capstone_logo.jpg,,,,,,,,,,,0,0,,,,,,,,
Commercial HVAC & Refrigeration Business – High-Margin Contracts,"Washington County, UT",,3295000,Commercial HVAC & Refrigeration Business – High-Margin Contracts This commercial HVAC and refrigeration company operates in a fast-growing region of the Mountain West and has earned a strong...,4,2386813,2386813,https://www.bizbuysell.com/business-opportunity/commercial-hvac-and-refrigeration-business-high-margin-contracts/2386813/,717890,40,,1,0,2200,14,4,2386813,,,,,,,FALSE,,,,UT,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,36322,0,0,0,40,,0,,,,
High-Volume Full-Service Restaurant & Bar MRB MD 1581,"Baltimore, MD",,440000,"High-Volume Full-Service Restaurant & Bar for Sale – Baltimore, MD Price: $440,000 Annual Sales: $1,345,000 Rent: $6,000/month Size: 3,000 SF | 120 Seats Employees: 20 Take advantage of this rare...",4,2386808,2386808,https://www.bizbuysell.com/business-opportunity/high-volume-full-service-restaurant-and-bar-mrb-md-1581/2386808/,,40,,0,40,6000,15,4,2386808,,,,,,,FALSE,,,,MD,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,9590,0,0,0,40,,0,,,,
"Established, Successful Hair Salon & Barber Shop","Helena, MT",,60000,"This Successful Hair Salon and Barber Shop is a great opportunity for someone who wants to become an independent operator. Established in 2010, the business has over a decade of repeat customers and...",4,2386788,2386788,https://www.bizbuysell.com/business-opportunity/established-successful-hair-salon-and-barber-shop/2386788/,30550,40,,0,0,,16,4,2386788,,,,,,,FALSE,,,,MT,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,28475,0,0,0,40,,0,,,,
"Mission's Tortilla Route, Elko, NV","Elko, NV",,110000,"Mission’s Tortilla Route for sale in the Elko, Nevada region for $110,000! Currently generating $833,085 in yearly sales and nets $103,468. Distributorship and territory are purchased through seller...",4,2386774,2386774,https://www.bizbuysell.com/business-opportunity/missions-tortilla-route-elko-nv/2386774/,103468,40,103468,0,,,17,4,2386774,,,,,,,FALSE,,,,NV,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,13461,0,0,0,40,,0,,,,
2 Breakfast/Lunch Landmarks for Sale in PA,"Luzerne County, PA",,1161000,"LISTING ID # 37036 Long established breakfast and lunch restaurant (institutions) with real property available. The property is available separately for $450,000 directly through the seller. All...",4,2386741,2386741,https://www.bizbuysell.com/business-opportunity/2-breakfast-lunch-landmarks-for-sale-in-pa/2386741/,387000,40,,0,,,18,4,2386741,,,,,,,FALSE,,,,PA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,1593,0,0,0,40,,0,,,,
Preppy Pet Franchises Inc,Available in Multiple Locations,,34500,"Open Pet Boarding, Doggy Daycare and Grooming Franchise for $100,000.",-1,299,299,/franchise-for-sale/preppy-pet-franchises-inc/,,-1,,,,,-1,-1,3265,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,/franchise-for-sale/retail-franchise/,,,,,
Multi-Revenue Stream Business Brokerage - Lucrative Opportunity,"Marin County, CA",,95000,"Take advantage of a unique chance to own an exclusive business brokerage territory in Marin County—an affluent, business-friendly region just north of San Francisco. Known for its concentration of...",1,2386724,2386724,https://www.bizbuysell.com/business-opportunity/multi-revenue-stream-business-brokerage-lucrative-opportunity/2386724/,,40,,0,,,19,1,2386724,,,,,,,FALSE,,,,CA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,47627,0,0,0,60,,0,,,,
Established Business Brokerage Territory – Prime Market,"Alameda County, CA",,95000,An exceptional opportunity to acquire an established and exclusive business brokerage territory in Alameda County—one of the most dynamic and diverse economic regions in California. This territory...,1,2386718,2386718,https://www.bizbuysell.com/business-opportunity/established-business-brokerage-territory-prime-market/2386718/,,40,,0,40,,20,1,2386718,,,,,,,FALSE,,,,CA,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,47627,0,0,0,60,,0,,,,
Martial Arts Business for Sale in New York,"Queens County, NY",,640000,"LISTING ID # 36779 An established and highly respected martial arts business in Queens County, New York, is now available for acquisition. With an asking price of $640,000, this 4,000 sq. ft. facility...",4,2386716,2386716,https://www.bizbuysell.com/business-opportunity/martial-arts-business-for-sale-in-new-york/2386716/,170000,40,,0,,,21,4,2386716,,,,,,,FALSE,,,,NY,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,1593,0,0,0,40,,0,,,,
"Tint World Charleston, SC- Top Automotive Styling Business For Sale!","Charleston, SC",,420000,Established Tint World Franchise - Charleston's Premier Auto Styling Destination This profitable Tint World franchise represents an exceptional opportunity to acquire Charleston's leading automotive...,1,2386709,2386709,https://www.bizbuysell.com/business-opportunity/tint-world-charleston-sc-top-automotive-styling-business-for-sale/2386709/,,40,,1,40,6376,22,1,2386709,,,,,,,FALSE,,,,SC,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,,0,0,0,,,0,,,,
Property Management Business with Recurring Revenue,"Tampa, FL",,80000,"Step into ownership with this established service business backed by a well-known, highly regarded national franchise. Located in the Tampa-St. Petersburg Metropolitan Area, this business offers...",4,2386707,2386707,https://www.bizbuysell.com/business-opportunity/property-management-business-with-recurring-revenue/2386707/,62000,40,,0,,615,23,4,2386707,,,,,,,FALSE,,,,FL,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,28517,0,0,0,40,,0,,,,
Scalable Asphalt Company in NY,"Suffolk County, NY",,595000,"LISTING ID # 36256 Established and highly scalable asphalt company servicing Suffolk and the East End area. The sale includes all equipment (except for one Mack truck with notes), an active phone...",4,2386703,2386703,https://www.bizbuysell.com/business-opportunity/scalable-asphalt-company-in-ny/2386703/,250000,40,,1,,,24,4,2386703,,,,,,,FALSE,,,,NY,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,1593,0,0,0,40,,0,,,,
Franchise Craft Beer Bar and Grill for Sale!!,"Dallas, TX",,350000,"Step into ownership of a proven performer with this Franchise Craft Beer Bar and Grill for Sale, a standout opportunity in the thriving Dallas market. With annual sales exceeding $1.1 million, this...",4,2386701,2386701,https://www.bizbuysell.com/business-opportunity/franchise-craft-beer-bar-and-grill-for-sale/2386701/,0,40,,0,40,8315,25,4,2386701,,,,,,,FALSE,,,,TX,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,2900,0,0,0,40,,0,,,,
Profitable Cafe for Sale in Palm Beach County,"Boca Raton, FL",,39000,"Sandwich Cafe for Sale in West Palm Beach county. Looking for a restaurant with a constant flow of customers, this could be your perfect opportunity. This Cafe for Sale is turning out enough wraps,...",4,2386699,2386699,https://www.bizbuysell.com/business-opportunity/profitable-cafe-for-sale-in-palm-beach-county/2386699/,54701,40,,0,40,5800,26,4,2386699,,,,,,,FALSE,,,,FL,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,18881,0,0,0,40,,0,,,,
Smoke Shop for Sale in New Jersey,"Union County, NJ",,151000,"LISTING ID # 36309 Explore this highly profitable smoke shop located on a busy street in Union County, New Jersey. The shop is brand new and situated in a prime location. The current owner, managing...",4,2386698,2386698,https://www.bizbuysell.com/business-opportunity/smoke-shop-for-sale-in-new-jersey/2386698/,105000,40,,0,,,27,4,2386698,,,,,,,FALSE,,,,NJ,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,1593,0,0,0,40,,0,,,,
"Patio Bar Restaurant For Sale Pinellas ,Fl","Pinellas County, FL",,449999,Popular Florida restaurant For Sale. Sales exceed 1.6M. Turn Key operation with great long term lease less than 4% of sales. Seats over 150 outside and has 28 seats inside. Fun place to own and enjoy...,4,2386696,2386696,https://www.bizbuysell.com/business-opportunity/patio-bar-restaurant-for-sale-pinellas-fl/2386696/,,40,,0,,,28,4,2386696,,,,,,,FALSE,,,,FL,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,10944,0,0,0,40,,0,,,,
HouseMaster,Available Nationwide,,25000,"HouseMaster, a Neighborly company, is the nation's leading home inspection franchise that helps customers take the guesswork out of buying a house.
",-1,914,914,/franchise-for-sale/housemaster/,,-1,,,,,-1,-1,3888,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,/franchise-for-sale/home-services-franchise/,,,,,
Restaurant for Sale in Cornelius NC: Great Visibility & Low Rent!,"Cornelius, NC",,179000,"This Restaurant for Sale in Cornelius, NC presents an exciting opportunity for a motivated owner/operator to enter one of the area's most desirable markets. Known for its proximity to Lake Norman,...",4,2386695,2386695,https://www.bizbuysell.com/business-opportunity/restaurant-for-sale-in-cornelius-nc-great-visibility-and-low-rent/2386695/,0,40,,0,40,2340,29,4,2386695,,,,,,,FALSE,,,,NC,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,35825,0,0,0,40,,0,,,,
Outdoor Lighting Products Franchise,"Charlotte, NC",,350000,"This Charlotte area franchise is owned absentee by someone who lives 4 hours away which is the reason for sale. Sales are just over $400,000 annually with approximately $140,000 in SDE. The Charlotte...",4,2386683,2386683,https://www.bizbuysell.com/business-opportunity/outdoor-lighting-products-franchise/2386683/,140000,40,,0,,,30,4,2386683,,,,,,,FALSE,,,,NC,FALSE,FALSE,TRUE,,,,FALSE,,,,,,,,1909,0,0,0,40,,0,,,,
